I,i,5.94,6.08
think,think,6.1,6.29
the,the,6.29,6.41
worst,worst,6.41,6.83
food,food,6.83,7.34
that,that,7.38,7.63
would,would,7.63,7.79
be,be,7.8,8.01
liquefied,<unk>,8.01,8.709999999999999
and,and,8.72,8.88
drank,drank,8.88,9.110000000000001
through,through,9.11,9.27
a,a,9.27,9.36
straw,straw,9.36,9.93
would,would,10.49,10.92
be,be,11.15,11.8
something,something,12.679999,13.159999000000001
meaty,meaty,13.17,13.77
because,because,14.179999,14.489999000000001
I,i,14.49,14.56
don't,don't,14.559999,14.719999
think,think,14.719999,14.929999
that,that,14.929999,15.049999
would,would,15.049999,15.269999
liquefy,liquefy,15.27,15.99
Well,well,16.01,16.44
like,like,16.449999,16.649998999999998
I,i,16.65,16.709999999999997
can't,can't,16.709999,16.909999
imagine,imagine,16.91,17.34
eating,eating,17.35,17.810000000000002
drinking,drinking,17.969999,18.479999000000003
a,a,18.48,18.55
steak,steak,18.559999,19.329999
but,but,19.939999,20.109999000000002
maybe,maybe,20.109999000000002,20.329999
I'll,i'll,20.329999,20.429999000000002
feel,feel,20.45,20.73
about,about,20.73,20.97
it,it,20.97,21.07
differently,differently,21.07,21.5
when,when,21.5,21.64
I'm,i'm,21.64,21.73
old,old,21.75,22.21
I,i,31.04,31.29
think,think,31.46,31.880000000000003
that,that,31.96,32.31
I,i,32.34,32.45
can,can,32.45,32.64
do,do,32.639999,32.989999000000005
almost,almost,33.009999,33.409999
anything,anything,33.42,34.02
better,better,34.09,34.57
than,than,34.75,34.98
90,<unk>,34.980000000000004,35.31
percent,percent,35.309999000000005,35.86999900000001
of,of,35.91,36.129999999999995
the,the,36.129999,36.239999
people,people,36.26,36.72
because,because,36.74,37.24
as,as,37.45,37.6
I,i,37.6,37.690000000000005
look,look,37.69,37.89
around,around,37.89,38.230000000000004
me,me,38.23,38.62
and,and,38.62,38.779999999999994
I,i,38.78,38.86
see,see,38.86,39.35
the,the,39.77,39.910000000000004
people,people,39.91,40.379999999999995
and,and,40.38,40.480000000000004
humanity,humanity,40.480000000000004,41.27
and,and,41.269999999999996,41.4
the,the,41.4,41.519999999999996
actions,actions,41.55,41.989999999999995
of,of,41.99,42.14
others,others,42.16,42.599999999999994
I,i,43.01,43.18
feel,feel,43.18,43.62
that,that,43.63,43.970000000000006
I'm,i'm,44.38,44.63
just,just,44.75,44.99
better,better,45.04,45.38
than,than,45.4,45.589999999999996
everyone,everyone,45.59,45.970000000000006
else,else,45.969999,46.349999000000004
The,the,54.45,54.550000000000004
most,most,54.55,54.79
amazing,amazing,54.79,55.37
nature,nature,55.37,55.73
place,place,55.73,56.279999999999994
that,that,56.3,56.47
I've,i've,56.47,56.65
been,been,56.68,56.94
to,to,56.94,57.43
definitely,definitely,58.5,58.97
has,has,58.97,59.18
to,to,59.18,59.28
be,be,59.28,59.58
in,in,59.59,59.75
Canada,canada,59.75,60.32
maybe,maybe,61.2,61.53
probably,probably,61.53,61.96
even,even,61.96,62.29
Quebec,quebec,62.29,62.81
have,have,63.12,63.379999999999995
been,been,63.41,63.73
going,going,63.730000000000004,63.970000000000006
in,in,63.969999,64.069999
the,the,64.07,64.38999999999999
Eastern,eastern,64.42,64.76
Townships,townships,64.76,65.65
and,and,65.65,65.91000000000001
walking,walking,65.91,66.39
through,through,66.4,66.73
the,the,66.74,66.86
forest,forest,66.86,67.6
and,and,67.599999,67.829999
seeing,seeing,67.83,68.1
the,the,68.11,68.22
different,different,68.219999,68.519999
animals,animals,68.53,69.11
running,running,69.11,69.35
around,around,69.36,69.89
It,it,69.889999,69.999999
was,was,70.0,70.15
really,really,70.16,70.42999999999999
a,a,70.43,70.49000000000001
great,great,70.49,70.72999999999999
experience,experience,70.73,71.4
And,and,71.4,71.60000000000001
I,i,72.109999,72.199999
was,was,72.19999899999999,72.349999
really,really,72.35,72.57
happy,happy,72.57,72.86999999999999
to,to,72.87,72.99000000000001
be,be,73.0,73.13
there,there,73.13,73.31
when,when,73.34,73.48
I,i,73.48,73.54
was,was,73.54,73.7
there,there,73.7,73.91
you,you,73.92,73.94
the,the,83.78,83.93
next,next,83.929999,84.289999
thing,thing,84.349999,84.58999899999999
to,to,84.95,85.07000000000001
be,be,85.07,85.27
obsolete,obsolete,85.27,86.28999999999999
It's,it's,88.059999,88.34999900000001
hard,hard,88.359999,88.629999
to,to,88.73,89.0
imagine,imagine,89.0,89.8
I,i,89.799999,89.86999899999999
try,try,89.869999,90.079999
to,to,90.08,90.17
see,see,90.17,90.55
what's,what's,90.55,90.84
around,around,90.84,91.35000000000001
me,me,91.36,91.99
Maybe,maybe,93.64,94.11
motion,motion,94.11,94.53
capture,capture,94.53,95.23
maybe,maybe,95.26,95.59
data,data,95.59,95.98
sets,sets,95.98,96.67
something,something,97.1,97.47
to,to,97.47,97.59
think,think,97.6,97.80999999999999
about,about,97.81,98.05
while,while,98.05,98.2
we're,we're,98.2,98.32000000000001
doing,doing,98.32,98.55
this,this,98.55,98.73
exercise,exercise,98.73,99.5
hopefully,hopefully,99.67,100.15
not,not,100.15,100.33000000000001
the,the,100.33,100.42999999999999
technology,technology,100.429999,101.019999
we're,we're,101.02,101.13
developing,developing,101.13,101.78999999999999
right,right,101.78999999999999,102.02
now,now,102.02,102.33999999999999
The,the,109.35,109.47999999999999
most,most,109.48,109.8
annoying,annoying,109.83,110.35
animal,animal,110.38,110.89999999999999
in,in,110.91,111.03999999999999
the,the,111.04,111.15
animal,animal,111.18,111.60000000000001
kingdom,kingdom,111.6,112.08999999999999
without,without,112.12,112.61
a,a,112.61,112.69
doubt,doubt,112.69,113.16
is,is,113.21,113.41
the,the,113.41,113.55
weaver,weaver,113.56,113.98
because,because,114.68,115.24000000000001
it,it,115.37,115.54
just,just,115.54,115.75
chews,chews,115.76,116.25
on,on,116.25,116.45
things,things,116.48,117.08
and,and,117.08,117.24
it,it,117.24,117.30999999999999
creates,creates,117.309999,117.75999900000001
dance,dance,117.76,118.12
and,and,118.12,118.25
it,it,118.25,118.33
stops,stops,118.34,118.75
water,water,118.75,119.08
It's,it's,119.08,119.2
just,just,119.2,119.37
making,making,119.37,119.65
a,a,119.65,119.71000000000001
mess,mess,119.71000000000001,120.25000000000001
